id,MLM,HLM
TEST_000,31.817965,50.18164
TEST_001,61.003582,68.663414
TEST_002,41.231297,49.978535
TEST_003,63.182644,63.482475
TEST_004,67.45849,69.32695
TEST_005,65.87275,70.45981
TEST_006,31.46493,49.478645
TEST_007,48.21536,58.929466
TEST_008,19.048254,35.957294
TEST_009,27.025303,48.71512
TEST_010,48.724434,57.446144
TEST_011,67.18009,73.122826
TEST_012,64.22261,67.50958
TEST_013,47.57499,59.033733
TEST_014,21.01008,38.144768
TEST_015,66.03394,67.190445
TEST_016,28.178007,31.110676
TEST_017,44.79977,66.006996
TEST_018,82.909935,70.56747
TEST_019,56.3785,64.66924
TEST_020,11.798383,32.026035
TEST_021,15.006873,27.743006
TEST_022,34.040627,44.89892
TEST_023,27.700735,46.64474
TEST_024,25.99502,36.874626
TEST_025,22.627605,38.437798
TEST_026,33.738243,54.10357
TEST_027,65.354195,69.174805
TEST_028,38.91915,63.42542
TEST_029,50.534462,52.85086
TEST_030,43.503807,51.39261
TEST_031,21.885847,36.6058
TEST_032,15.077119,34.184532
TEST_033,31.34089,48.16891
TEST_034,40.284576,63.09965
TEST_035,8.948498,17.637299
TEST_036,46.40817,55.917374
TEST_037,48.106087,60.208057
TEST_038,37.061844,58.80984
TEST_039,25.952335,47.857475
TEST_040,18.185566,28.858286
TEST_041,70.32786,74.02512
TEST_042,21.06768,28.947289
TEST_043,13.540014,21.251705
TEST_044,22.140497,40.88697
TEST_045,75.73074,72.76108
TEST_046,21.934437,44.822
TEST_047,11.681526,26.094038
TEST_048,60.403965,66.62807
TEST_049,25.959162,43.35032
TEST_050,72.4508,67.82876
TEST_051,31.337658,46.81078
TEST_052,48.10264,53.28315
TEST_053,46.416992,53.10767
TEST_054,20.326721,39.904697
TEST_055,33.104794,56.594997
TEST_056,47.555172,59.908825
TEST_057,42.63072,60.282463
TEST_058,25.531946,39.233665
TEST_059,37.890575,43.208794
TEST_060,35.71896,51.646126
TEST_061,64.88861,65.79019
TEST_062,42.50669,60.863914
TEST_063,68.29467,67.20297
TEST_064,37.147224,60.52608
TEST_065,46.65132,61.757046
TEST_066,61.832127,63.970295
TEST_067,55.77425,62.599857
TEST_068,45.816303,58.986847
TEST_069,45.31188,62.495422
TEST_070,23.936686,46.146507
TEST_071,37.80801,62.00215
TEST_072,30.591188,48.8184
TEST_073,62.276905,68.641304
TEST_074,41.136528,48.644848
TEST_075,72.02382,72.980865
TEST_076,50.775078,71.47122
TEST_077,52.75262,51.185528
TEST_078,47.682518,62.365337
TEST_079,42.493763,46.92334
TEST_080,69.37839,69.91289
TEST_081,49.782734,57.162563
TEST_082,41.055805,51.569798
TEST_083,11.700306,25.169127
TEST_084,23.091831,42.846497
TEST_085,73.91247,68.49267
TEST_086,31.984539,34.61499
TEST_087,85.89815,77.66563
TEST_088,48.419197,56.887405
TEST_089,70.36583,72.76571
TEST_090,35.82079,48.916306
TEST_091,31.325872,47.28649
TEST_092,37.725117,47.352707
TEST_093,30.258833,46.95346
TEST_094,72.135735,68.03149
TEST_095,22.479567,41.01042
TEST_096,72.286995,70.76623
TEST_097,85.82503,75.61626
TEST_098,23.7368,42.452724
TEST_099,23.136435,33.8081
TEST_100,64.92182,66.254196
TEST_101,17.921612,38.49167
TEST_102,68.54254,67.379524
TEST_103,59.323856,68.50242
TEST_104,29.07959,42.16132
TEST_105,56.09873,62.546604
TEST_106,57.112194,57.92698
TEST_107,66.928734,70.823105
TEST_108,60.779667,68.37603
TEST_109,26.637194,46.319603
TEST_110,42.197475,65.219635
TEST_111,39.478775,61.686417
TEST_112,35.293076,41.146053
TEST_113,51.285576,57.49613
TEST_114,43.600094,62.204426
TEST_115,18.279827,37.21941
TEST_116,17.67713,33.349266
TEST_117,50.9453,62.961445
TEST_118,38.11325,42.493267
TEST_119,37.547077,50.68931
